Pass Rate,Rebases,Wall Clock Time
0.999500,1,2037.157996
1.000000,0,1015.218761
0.999000,1,2001.026167
0.999500,1,2033.304738
0.998400,4,5027.622199
0.999000,3,4019.260303
1.000000,0,991.537235
0.999750,3,4072.608390
1.000000,0,998.483357
1.000000,0,1006.086668
0.999000,0,1006.888458
1.000000,0,1007.322669
1.000000,0,991.608755
0.999000,0,1018.392099
0.998667,5,6045.712099
1.000000,0,1039.317128
0.999000,0,1018.923097
1.000000,0,999.705130
1.000000,0,998.039264
1.000000,0,995.349904
1.000000,0,1007.680929
1.000000,0,1004.966595
1.000000,0,1028.088909
0.999000,0,982.229101
0.998000,1,2018.847906
1.000000,0,998.864364
1.000000,0,1003.371758
1.000000,0,1020.756299
1.000000,0,1012.889510
0.999000,0,975.812404
0.999333,2,2991.355859
1.000000,0,1000.945439
0.998000,0,1030.196258
1.000000,0,1030.202046
1.000000,0,1013.078250
0.998250,3,4038.448482
0.998500,1,1985.435688
0.997500,1,2003.862454
0.999000,1,2005.386755
0.998667,2,3017.770232
0.999000,1,2029.884187
0.998000,0,1014.925137
1.000000,0,991.772384
0.997000,0,991.542888
0.999000,0,1011.622708
1.000000,0,1031.997756
0.999333,2,3018.261604
0.999000,0,977.636569
0.999500,1,1950.946556
0.999000,0,988.134078
1.000000,0,996.587041
0.999000,0,1027.519421
0.998000,4,5020.417671
0.999000,0,996.460102
1.000000,0,980.621570
0.998833,5,6036.281153
0.999000,3,4036.438571
1.000000,0,1035.367481
0.999667,2,3013.940612
0.999000,1,2039.496239
1.000000,0,1027.152605
0.999000,0,1002.146056
1.000000,0,1010.048715
1.000000,0,1000.776593
0.999000,2,2993.306995
0.999000,0,1006.911679
0.999000,0,1008.031373
1.000000,0,1007.395574
1.000000,0,1002.731235
0.998500,1,1987.696926
1.000000,0,1003.271897
0.998500,1,2032.969099
0.996000,0,1021.466470
1.000000,0,1004.616804
0.999000,0,1012.711892
0.999500,1,2003.616729
0.998000,0,1007.742234
0.999000,0,1009.909709
0.998000,0,985.213731
0.998000,0,1016.067253
0.998600,4,5039.325518
0.999333,2,3037.310536
0.999000,0,979.431436
0.999500,3,3972.161379
0.998500,1,2013.762564
0.997500,1,1985.990665
1.000000,0,1012.603311
0.999000,0,989.353745
0.999000,0,995.419844
1.000000,0,998.269178
0.999667,2,3079.618181
0.998000,1,1998.771777
0.997000,0,997.139506
1.000000,0,1001.011694
1.000000,0,982.035673
0.999000,2,2996.786173
1.000000,0,987.257622
1.000000,0,997.660483
0.998000,0,1012.282364
1.000000,0,1006.480748
0.998500,1,1942.715650
0.999000,3,4031.748119
